"T32PRFL2,""journalArticle"",""2024"",""Ma, Xunzhou"; Liang, Liurong; Wu, Zhen‐Xing; Cao, Zhicheng; You, Yibo;" Xue, Cheng"",""The Relationship between Air Quality and Financial Risk Aversion: A View of Hetero‐Geneous Response to Air Pollution"",""The Developing Economies"","""","""",""10.1111/deve.12426"","""",""<jats:p>This paper conducts experiments on a sample of subjects from Chengdu and Wuhan, China, who are mostly unconcerned about air pollution. We provide evidence on the relationship between air quality and financial risk aversion by assessing the plausibility of two channels: affects and cognitive ability. We find that air pollution increases the financial risk aversion of subjects who are concerned about it by altering their emotional responses. However, the cognitive abilities of our subjects are not affected by air pollution, regardless of whether they are concerned about the pollution or not. Meanwhile, we show that reference dependence effect can explain why most subjects in our sample are not highly concerned about air quality. The results of our study stress the importance of beliefs about the impact of air pollution in determining the relationship between air pollution and human behavior.</jats:p>"",""2024"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""183-206"","""",""2"",""63"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"E92L9Z25,""journalArticle"",""2024"",""Goff, Brian"; Wilson, Dennis;" Zimmer, David"",""Performing in high-pressure situations: the case of tennis players up a break and serving for the set"",""Applied Economics"","""","""",""10.1080/00036846.2024.2381129"","""",""This study explores the impact of perceived pressure on performance in professional tennis. Contrary to conventional wisdom linking pressure with poorer performance, we analyse over 136,000 tennis game instances (from July 2021–September 2022) to find that both male and female players improve their service hold probabilities under heightened match pressure. While innate player attributes influence service hold likelihoods, the gender-specific variability in performance response to pressure is evident, with female players revealing a greater variance in likelihood."",""2024"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""6138-6147"","""",""39"",""57"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"32AZ6RTB,""journalArticle"",""2025"",""Constantinides, George M.";" Montone, Maurizio"",""Sentiment and Environmental Performance"",""NA"","""","""",""10.2139/ssrn.5590790"","""",""<jats:p>We identify a novel behavioral driver of environmental performance. An increase in countrylevel consumer sentiment leads to sustained reduction in emission intensity over a multiyear horizon. Since consumer sentiment increases investment, productivity, energy efficiency, and stock market returns, a plausible explanation is that firms can afford to engage in costly reduction of emissions in a buoyant market. The effect tapers off over time and is stronger in countries where sentiment is a more reliable signal for the state of the economy. Our results suggest that policies boosting economic expectations yield substantial environmental benefits.</jats:p>"",""2025"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""NA-NA"","""",""NA"",""NA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"IDU9T4LG,""journalArticle"",""2026"",""Wu, Shaohui"; Yin, Ge;" Zhang, Xin"",""Information, pollution, and cognition: The impact of air pollution disclosure on aging minds"",""China Economic Review"","""","""",""10.1016/j.chieco.2026.102664"","""",""NA"",""2026"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""102664-102664"","""",""NA"",""96"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"4WXR26G4,""journalArticle"",""2023"",""Wu, Zhiyang"; Zhou, Tao; Zhang, Ning; Choi, Yongrok;" Kong, Fanbin"",""A hidden risk in climate change: The effect of daily rainfall shocks on industrial activities"",""Economic Analysis and Policy"","""","""",""10.1016/j.eap.2023.08.002"","""",""NA"",""2023"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""161-180"","""",""NA"",""80"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"5RL9RXD2,""journalArticle"",""2022"",""Chen, Shuai"; Wang, Min;" Zhang, Dandan"",""Air Pollution, Labor Productivity and Individual Consumption"",""SSRN Electronic Journal"","""","""",""10.2139/ssrn.4014350"","""",""NA"",""2022"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""NA-NA"","""",""NA"",""NA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"CWB66Y45,""journalArticle"",""2025"",""Hagerty, Nick";" Tiwari, Anshuman"",""Industrial Water Pollution and Agricultural Production in India"",""Journal of the Association of Environmental and Resource Economists"","""","""",""10.1086/734935"","""",""We study how industrial water pollution affects agriculture in India, focusing on 48 industrial sites identified by the central government as “severely polluted.” We exploit the spatial discontinuity in pollution concentrations that these sites generate along a river, comparing villages immediately downstream and upstream of each site. To overcome data limitations, we use hydrological modeling to compute spatial relationships and machine learning to predict crop yields from satellite data. We find a large, sudden rise in pollutant concentrations in nearby rivers downstream of sites, but we do not detect lower crop yields on average. Yields do fall in specific areas, but aggregate impacts are small. Likely reasons are that not all farms are exposed, pollution dilutes before reaching crops, and industrial effluent can include beneficial nutrients. Water pollution may have other social costs, but damages to crop yields is probably not one of them."",""2025"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""1277-1315"","""",""5"",""12"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"SAQGT295,""journalArticle"",""2024"",""YUSUFF, Ridwan Olabisi"; AZEEZ, Fagbenro Dare;" SUN, Akor"",""Indoor pollution and employees' performance in unifoam Nigeria limited and fortunate bakery"",""Romanian Journal of Public Affairs"","""","""",""10.69581/rjpa.2024.09.05"","""",""<jats:p>Researchers have long been eager to uncover the causes of declining productivity. This study investigates the adverse impact of indoor pollution on worker performance, with a particular focus on businesses located in Ilorin, the capital city of Kwara State in Nigeria. The study involved 83 participants from different workplaces who completed surveys, and the chi-square statistical method was used to test four hypotheses. The results revealed a significant correlation between employee productivity and the work environment, particularly about pollution levels. The study revealed that businesses that maintained a welcoming and supportive atmosphere for their employees were more productive and in greater demand. The conducive workplace environment improved worker performance, leading to a reduction in negative behaviours such as laziness, low commitment, and absenteeism. In conclusion, the study advocates for initiatives aimed at enhancing work performance factors to foster positive productivity. Suggestions include implementing financial incentives, motivating employees, adopting more worker-friendly management policies, and improving employee wages. These measures are deemed crucial for fostering a more conducive work environment and enhancing overall productivity.</jats:p>"",""2024"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""101-124"","""",""9"",""2024"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"HQECVGFE,""journalArticle"",""2025"",""Song, Simiao";" Cui, Guanghui"",""How does the green credit interest subsidy policy affect corporate green innovation? Evidence from China"",""Applied Economics"","""","""",""10.1080/00036846.2025.2556044"","""",""This study investigates the effect of the Green Credit Interest Subsidy Policy (GCISP) on corporate green innovation. Drawing on a sample of Chinese A-share listed companies from 2007 to 2023, it employs a staggered difference-in-differences methodology. The findings reveal that the implementation of the GCISP led to a 7.67% increase in total green patent applications and an 11.81% rise in green invention patent applications, relative to the respective sample means. Notably, the policy’s effect is particularly salient among high-pollution enterprises in contrast to their less-polluting counterparts. Mechanism analyses further demonstrate that the GCISP stimulates green innovation primarily through reducing agency costs and alleviating financing constraints. The policy’s positive influence is most evident in regions characterized by stricter environmental regulations, and stronger intellectual property protection. Collectively, these findings provide robust evidence of the GCISP’s efficacy in facilitating corporate green innovation and yield important implications for the design and optimization of environmental policy frameworks in emerging market economies."",""2025"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""1-21"","""",""NA"",""NA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"WSQL7K85,""journalArticle"",""2024"",""Li, Lyuxiu"; Ma, Chao; Xu, Wei;" Zhang, Xin"",""The impact of ozone pollution on stroke hospitalization"",""China Economic Journal"","""","""",""10.1080/17538963.2023.2300868"","""",""This study is one of the first to examine the causal impact of ozone pollution on stroke hospitalization in a developing country, using individual-level inpatient medical records from a major Chinese city. Employing an instrumental variable (IV) approach with thermal inversion to address potential endogeneity in air pollution, our findings reveal ozone pollution has statistically significant effect on total health expenses across all exposure intervals, spanning from 1 day to 14 days. The impact of exposure to ozone pollution for less than 7 days on total expenses can be primarily attributed to changes in daily expenses, while the impact of exposure for more than 7 days is associated with an increase in the length of hospital stay. This effect, largely driven by out-of-pocket spending on medication and examination costs, is more salient for females and ischemic stroke patients."",""2024"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""97-115"","""",""1"",""17"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Y5Z9TMT3,""journalArticle"",""2026"",""Lu, Yangsiyu";" Pless, Jacquelyn"",""Greening to grow: Evidence from environmental regulation and industrial firm productivity in China"",""Journal of Public Economics"","""","""",""10.1016/j.jpubeco.2026.105596"","""",""NA"",""2026"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""105596-105596"","""",""NA"",""256"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PZV62XN7,""journalArticle"",""2025"",""Cho, Jae Il";" Kim, Kyungsun"",""Shadows in the Air: Mental health vulnerabilities under PM10 and PM2.5, before and after COVID-19."",""SSM - population health"","""","""",""10.1016/j.ssmph.2025.101814"","""",""Air pollution is an increasing public health concern, with evidence indicating that poor air quality adversely affects health through various pathways. However, its impact on mental health remains underexplored despite indications of pollutant-induced distress. This study examines the causal relationship between air pollution and mental health disorders-such as depression, sleep disorders, ADHD, and OCD-in South Korea. Assessing this relationship is challenging due to the simultaneous occurrence of economic growth, rising stress, and worsening air quality. Additionally, mental health issues have risen despite declining pollution levels post-COVID-19, further complicating the analysis. To address these challenges, we use wind speed and direction as instrumental variables. Our results show significant adverse effects of air pollution on mental health, particularly before 2020. Although the impact diminishes post-pandemic with improved air quality, certain demographic groups remain vulnerable. This study underscores the need for policies safeguarding mental health in at-risk groups, regardless of declining average pollution levels, and contributes to the literature by highlighting effects on less-studied disorders such as ADHD and OCD."",""2025"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""101814-101814"","""",""NA"",""30"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"K235FAQK,""journalArticle"",""2023"",""Wei, Xiaokun"; Jiang, Yan;" Gan, Tian"",""Air pollution and entrepreneurship: evidence from China"",""Applied Economics"","""","""",""10.1080/00036846.2023.2203454"","""",""Air pollution has become a major danger to human health and a hindrance to social and economic growth. This study endeavours to examine the impact of air pollution on entrepreneurial activities in China. Using registration data from 2000 to 2018, we find that severe air pollution can decrease the number of newly registered firms by about 36%, suggesting a negative eﬀect on entrepreneurship. To strengthen the causal inference, we adopt the two-stage least square method to address the potential endogenous problems. The result is robust to different model settings and alternative measurements of air pollution. The study further delves into the mechanisms through which air pollution affects entrepreneurial activities, including brain drain, social capital, startup costs, and financial constraints. This study recommends effective environmental regulation policies to improve air quality as well as increase the attraction of mobile factors to alleviate the adverse impacts of air pollution on entrepreneurial activities."",""2023"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""2860-2874"","""",""24"",""56"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"F2RWDCBR,""journalArticle"",""2023"",""Chen, Fanglin"; Zhang, Xin;" Chen, Zhongfei"",""Behind climate change: Extreme heat and health cost"",""Structural Change and Economic Dynamics"","""","""",""10.1016/j.strueco.2022.12.007"","""",""NA"",""2023"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""101-110"","""",""NA"",""64"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"NMIZ3P6R,""journalArticle"",""2025"",""Zhang, Kaixia"; Bu, Caiqi;" Li, Weibing"",""Air Quality and Executive Compensation: Evidence from a Spatial Discontinuity in China"",""Emerging Markets Finance and Trade"","""","""",""10.1080/1540496x.2025.2454419"","""",""This paper takes advantage of the spatial discontinuity of air pollution caused by the Huai River policy to effectively isolate the causal relationship between air pollution and corporate executive compensation through a geographical regression discontinuity (RD) design model for the first time. We find that air pollution has a significant positive effect on general manager (GM) compensation. Air pollution results in a higher pay premium for executives with greater bargaining power, nonlocal executives, and those in high economic growth areas. The ordinary employee does not receive an air pollution allowance. In addition, we find that air pollution increases executives’ turnover rates, which threatens companies in highly polluted areas and forces them to increase executive compensation. The conclusions of this paper can help the government, companies, and the public fully understand the economic and social cost issues caused by air pollution."",""2025"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""2401-2426"","""",""8"",""61"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"BPHPXEUT,""journalArticle"",""2023"",""Lin, Kai"; Shi, Yanli;" Xu, Hong"",""Can Grassroots Governments' Environmental Attention Effectively Improve Air Pollution? Empirical Evidence from Satellite Remote Sensing Technology"",""Sustainability"","""","""",""10.3390/su152115309"","""",""<jats:p>Air pollution poses a global challenge, prompting governments worldwide to implement environmental policies aimed at its mitigation. However, grassroots management is key to the effectiveness of pollution management. Traditional air monitoring, ranging from a specific point to broader areas, has inherent limitations. In contrast, satellite remote sensing technology offers extensive spatial and temporal coverage, enabling real-time monitoring of data transmission. Can the amalgamation of grassroots governance and satellite remote sensing technology significantly enhance air pollution control? This article leverages satellite remote sensing data and county-level economic and social data from China spanning the period 2008 to 2019 to empirically explore the impact and mechanism of government environmental constraints on air pollution in grassroots areas. The following results were found: (1) Grassroots government environmental constraints exert a significant inhibitory effect on air pollution, and this conclusion remains valid after a series of robustness tests. (2) Mechanism tests reveal that grassroots government environmental constraints reduce county-level air pollution by fostering urbanization, enhancing industrial structures, and promoting innovation in green technologies. (3) There exists heterogeneity in the inhibitory effect of grassroots environmental constraints on air pollution, with a more pronounced impact in areas focusing on environmental protection, facing no economic constraints, large-scale, and located in central and western regions. The green governance awareness of a higher-level government shows an interaction effect on the reduction in environmental constraints at the grassroots government level, collectively contributing to the decrease in regional air pollution. The conclusion of this article underscores the vital role of satellite remote sensing technology in pollution control and provides insights into the direction of environmental regulation.</jats:p>"",""2023"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""15309-15309"","""",""21"",""15"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"5AAZF8TG,""journalArticle"",""2022"",""Ma, Wenjing"; Liu, Kai; Li, Yunlong;" Zhang, Huarong"",""The impact of FDI quality characteristics on carbon emission intensity: Evidence from China"",""Frontiers in Environmental Science"","""","""",""10.3389/fenvs.2022.998915"","""",""<jats:p>Using data from 30 provincial-level in China during 2005–2019, this paper investigates the impact of foreign direct investment (FDI) quality characteristics on carbon emission intensity. Based on the Copeland-Taylor model, the mechanism of the impact of FDI quality characteristics on carbon emission intensity is also investigated. The key findings demonstrate that FDI quality traits considerably lower regional carbon intensity, and the result is still robust after considering the spatial correlation and using IV-2sls in consideration of endogeneity. The FDI quality characteristics mainly reduce carbon emission intensity through green technology improvement, industrial structure, and factor endowment structure optimization. Moreover, further evidence shows that there are heterogeneous effects with regard to regional and FDI quality characteristics. From the standpoint of FDI quality characteristics, this study adds to the literature on FDI and environmental pollution. Policy recommendations for China are also discussed in this paper, which can serve as a guide for other emerging nations.</jats:p>"",""2022"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""NA-NA"","""",""NA"",""10"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"XN8AU5UQ,""journalArticle"",""2023"",""Wang, Feng"; Wang, Ruiqi; Yan, Mao;" Zhao, Jingfei"",""Does air pollution affect traffic safety? Evidence from cities in China."",""Environmental science and pollution research international"","""","""",""10.1007/s11356-023-28560-3"","""",""Does air pollution influence traffic safety? To answer this question, this paper empirically investigates the nonlinear impact of air pollution on traffic mortality by employing a balanced panel dataset for 102 Chinese cities covering 2014-2018. Also, this paper then discusses the nonlinear mediation effects of air pollution on traffic safety to test the influential mechanism between these two variables. The following three conclusions are obtained. First, air pollution has a nonlinear impact on traffic safety: a 1 μg/m<sup>3</sup> increase in the average annual concentration of PM2.5 could lead to a 0.0439 increase in traffic fatalities per one million people, but the negative impact of PM2.5 on air pollution will be reduced in the long run. Second, heterogeneity analysis indicates that the impact of air pollution on traffic safety in northern cities of China, cities with lower levels of economic development is more serious than that in other cities. Third, air pollution may affect traffic safety by reducing transport efficiency and affecting drivers' physiological status and cognitive abilities."",""2023"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""88998-89011"","""",""38"",""30"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3X75PXQR,""journalArticle"",""2024"",""Zhang, Yongji"; Cao, Liyuan; Lan, Minghui; Su, Zhi;" Wang, Ke"",""Air pollution and issuance credit spread of municipal investment bond"",""Energy Economics"","""","""",""10.1016/j.eneco.2024.107866"","""",""NA"",""2024"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""107866-107866"","""",""NA"",""139"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"I25BZW4I,""journalArticle"",""2022"",""Chen, Shuai"; Oliva, Paulina;" Zhang, Peng"",""The effect of air pollution on migration: Evidence from China"",""Journal of Development Economics"","""","""",""10.1016/j.jdeveco.2022.102833"","""",""NA"",""2022"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""102833-NA"","""",""NA"",""156"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"E23IJQEV,""journalArticle"",""2021"",""Shi, Xiangyu";" Zhang, Xin"",""Extreme Temperature and Firm Dynamics: the Case of Chinese Manufacturing"",""SSRN Electronic Journal"","""","""",""10.2139/ssrn.3981739"","""",""NA"",""2021"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""NA-NA"","""",""NA"",""NA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3JWS6Y7Z,""journalArticle"",""2022"",""Zhang, Ning"; Zhao, Yu;" Wang, Na"",""Is China's energy policy effective for power plants? Evidence from the 12th Five-Year Plan energy saving targets"",""Energy Economics"","""","""",""10.1016/j.eneco.2022.106143"","""",""NA"",""2022"",""2026-08-25 13:58:20"",""2026-08-25 13:58:20"","""",""106143-106143"","""",""NA"",""112"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
