Authors.full.names,Title,Year,Source.title,Cited.by,DOI,Link,Abstract,Author.Keywords,Index.Keywords,Language.of.Original.Document,Source,Document.Type,doi_n
"Lohmann, Paul M.; Probst, Benedict; Gsottbauer, Elisabeth; Kontoleon, Andreas",high levels of air pollution reduce team performance,2024,Journal of Economic Psychology,NA,10.1016/j.joep.2024.102705,NA,"Teams play a key role in tackling complex societal challenges, such as developing vaccines or novel clean energy technologies. Yet, the effect of air pollution on team performance in non-routine problem-solving tasks is not well explored. Here, we document a sizable adverse effect of air pollution on team performance using data from 15,000 live escape games in London, United Kingdom. On high-pollution days, teams take on average 5% more time to solve a sequence of non-routine analytical tasks, which require collaborative skills analogous to those needed in the modern workplace. Negative effects are non-linear and only occur at high levels of air pollution, which are however commonplace in many developing countries. As team efforts predominantly drive innovation, high levels of air pollution may significantly hamper economic development.",NA,NA,NA,Snowballing,journalArticle,10.1016/j.joep.2024.102705
"Bondy, Malvina; Roth, Sefi; Sager, Lutz",crime is in the air the contemporaneous relationship between air pollution and crime,2020,Journal of the Association of Environmental and Resource Economists,NA,10.1086/707127,NA,"AbstractMany empirical studies have examined the various determinants of crime. However, the link between crime and air pollution has been largely overlooked. In this paper we study whether exposur...",NA,NA,NA,Snowballing,journalArticle,10.1086/707127
"Xie, Qiaorong; Dai, Yuqing; Zhu, Xianlei; Hui, Fan; Fu, Xianqiang; Zhang, Qiangbin",high contribution from outdoor air to personal exposure and potential inhaled dose of pm2 5 for indoor active university students,2022,Environmental research,NA,10.1016/j.envres.2022.114225,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.envres.2022.114225
"Lin, Yunyuan",does air pollution affect employment quality,2025,Journal of environmental management,NA,10.1016/j.jenvman.2025.126201,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.jenvman.2025.126201
"Saxena, Pallavi; Sonwani, Saurabh",secondary criteria air pollutants environmental health effects,2019,Criteria Air Pollutants and their Impact on Environmental Health,NA,10.1007/978-981-13-9992-3_4,NA,NA,NA,NA,NA,Snowballing,bookSection,10.1007/978-981-13-9992-3_4
"Fischer, Kai; Reade, J James; Schmal, W Benedikt",what cannot be cured must be endured the long lasting effect of a covid 19 infection on workplace productivity,2022,Labour economics,NA,10.1016/j.labeco.2022.102281,NA,"The COVID-19 pandemic has triggered economic shock waves across the globe. Exploiting a natural experiment, this paper estimates how being infected with the virus shapes individual-level productivity after having recovered. Studying the performance of professional athletes in Germany and Italy and applying a staggered difference-in-differences design, we find that individual performance drops by around 6 percent after a previously infected athlete returns to the pitch. This striking deterioration remains persistent over time - amounting to 5% eight months after the infection. The effect increases with age and infection severity, and is spread disproportionally over the course of a match. We detect no productivity effects for other respiratory infections. We take these findings as first evidence that the pandemic might cause long-lasting effects on worker productivity and economic growth.",NA,NA,NA,Snowballing,journalArticle,10.1016/j.labeco.2022.102281
"Rau, P. Raghavendra; Wu, YiLin; Ieong, Lok-Si",hazed and confused prenatal pollutant exposure and ceo risk taking,2023,SSRN Electronic Journal,NA,10.2139/ssrn.4503598,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.2139/ssrn.4503598
"Xu, Liuyang; Cai, Hechang; Wang, Zilong",can air pollution reduce technology transfer evidence from china s prefecture level cities,2022,The Science of the total environment,NA,10.1016/j.scitotenv.2022.159510,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.scitotenv.2022.159510
"González-Fernández, Francisco Tomás; Clemente, Filipe Manuel; Castillo-Rodríguez, Alfonso; de la Cruz Márquez, Juan Carlos; Badicu, Georgian; Martínez-Aranda, Luis Manuel",playing for breath how particulate pollution affects cardiorespiratory performance in youth soccer under the cleaner air better game initiative,2025,International Journal of Sports Science & Coaching,NA,10.1177/17479541251340485,NA,"<jats:p> The UEFA campaign “Cleaner Air, Better Game” initiated in 2021 highlights the detrimental effects of particulate pollution on cardiorespiratory fitness and overall performance in soccer players. This study examined variations in maximal oxygen uptake ( <jats:inline-formula> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" overflow=""scroll""> <mml:mrow> <mml:mover> <mml:mrow> <mml:mi mathvariant=""normal"">V</mml:mi> </mml:mrow> <mml:mo>˙</mml:mo> </mml:mover> </mml:mrow> <mml:msub> <mml:mrow> <mml:mi mathvariant=""normal"">O</mml:mi> </mml:mrow> <mml:mn>2</mml:mn> </mml:msub> </mml:math> </jats:inline-formula> max) among 92 young soccer players from two villages with differing pollution levels. Utilizing a longitudinal design with pre- and post-exposure measurements, participants were divided into an experimental group (EG, <jats:italic>n</jats:italic> = 46) from a polluted area and a control group (CG, <jats:italic>n</jats:italic> = 46) from a cleaner environment. Evaluations were conducted using the Yo-Yo Intermittent Recovery Test to determine <jats:inline-formula> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" overflow=""scroll""> <mml:mrow> <mml:mover> <mml:mrow> <mml:mi mathvariant=""normal"">V</mml:mi> </mml:mrow> <mml:mo>˙</mml:mo> </mml:mover> </mml:mrow> <mml:msub> <mml:mrow> <mml:mi mathvariant=""normal"">O</mml:mi> </mml:mrow> <mml:mn>2</mml:mn> </mml:msub> </mml:math> </jats:inline-formula> max. The EG exhibited a significant improvement of 12.35% in <jats:inline-formula> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" overflow=""scroll""> <mml:mrow> <mml:mover> <mml:mrow> <mml:mi mathvariant=""normal"">V</mml:mi> </mml:mrow> <mml:mo>˙</mml:mo> </mml:mover> </mml:mrow> <mml:msub> <mml:mrow> <mml:mi mathvariant=""normal"">O</mml:mi> </mml:mrow> <mml:mn>2</mml:mn> </mml:msub> </mml:math> </jats:inline-formula> max compared to 1.97% in the CG, with statistical significance at <jats:italic>p</jats:italic> &lt; 0.001. Initial <jats:inline-formula> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" overflow=""scroll""> <mml:mrow> <mml:mover> <mml:mrow> <mml:mi mathvariant=""normal"">V</mml:mi> </mml:mrow> <mml:mo>˙</mml:mo> </mml:mover> </mml:mrow> <mml:msub> <mml:mrow> <mml:mi mathvariant=""normal"">O</mml:mi> </mml:mrow> <mml:mn>2</mml:mn> </mml:msub> </mml:math> </jats:inline-formula> max levels were lower in the EG (t = 2.589; <jats:italic>p</jats:italic> &lt; 0.05), but post-test values surpassed those of the CG (t = -3.380; <jats:italic>p</jats:italic> &lt; 0.01). These findings suggest that high particulate pollution adversely impacts <jats:inline-formula> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" overflow=""scroll""> <mml:mrow> <mml:mover> <mml:mrow> <mml:mi mathvariant=""normal"">V</mml:mi> </mml:mrow> <mml:mo>˙</mml:mo> </mml:mover> </mml:mrow> <mml:msub> <mml:mrow> <mml:mi mathvariant=""normal"">O</mml:mi> </mml:mrow> <mml:mn>2</mml:mn> </mml:msub> </mml:math> </jats:inline-formula> max in young soccer players. Future research should explore long-term effects of air quality on athletic performance and develop strategies to mitigate pollution exposure during training. </jats:p>",NA,NA,NA,Snowballing,journalArticle,10.1177/17479541251340485
"Liu, Ziyi; Gong, Fuxu; Tian, Lei; Yan, Jun; Li, Kang; Tan, Yizhe; Han, Jie; Zhao, Yue; Li, Da; Xi, Zhuge; Liu, Xiaohua",acute exercise in ozone polluted air induces apoptosis in rat quadriceps femoris muscle cells via mitochondrial pathway,2022,Sports medicine and health science,NA,10.1016/j.smhs.2022.06.003,NA,"Ozone (O<sub>3</sub>) pollution can decrease sport performance and induce respiratory toxicity, but relatively few studies have investigated its effects on skeletal muscles. We randomly assigned rats to the following groups based on a 2 ​× ​4 two-factor factorial design: Air+0, Air+10, Air+15, and Air+20, O<sub>3</sub>+0, O<sub>3</sub>+10, O<sub>3</sub>+15, and O<sub>3</sub>+20. The rats in the +0 groups rested, whereas those in the +10, +15, and +20 groups ran on a treadmill (in clean air for Air groups and in air polluted with 0.14 ​parts per million [ppm] O<sub>3</sub> for O<sub>3</sub> groups) at speeds of 10, 15, and 20 ​m/min, respectively, for 1 ​h. Thereafter, key enzyme activities involving the tricarboxylic acid cycle, oxidative phosphorylation, adenosine triphosphate (ATP) content, histopathological changes, oxidative stress, inflammation factors, and apoptosis were assessed in the rat quadriceps femoris samples. Ozone reduced key enzyme activities and ATP contents in the quadriceps femoris regardless of whether the rats exercised. Pathological changes, inflammatory factors, oxidative stress, and mitochondria-dependent apoptosis were only evident under conditions of exercise combined with ozone and increasingly worsened as exercise intensity increased. These findings suggested that acute exercise under ozone exposure could induce damage to the quadriceps femoris, which would negatively affect sport performance. Ozone-induced disrupted energy metabolism might be an early event that becomes more critical as exercise intensity increases. Therefore, care should be taken when exercising in polluted air, even when ozone pollution is mild.",NA,NA,NA,Snowballing,journalArticle,10.1016/j.smhs.2022.06.003
"Chang, Kang-Hung; Chatterjee, Ishita; Yu, Li",helping under haze evidence from lost letter field experiments in beijing and delhi,2025,NA,NA,10.2139/ssrn.5372664,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.2139/ssrn.5372664
"Zheng, Kuankuan; Lv, Zhike",coupling coordination analysis of urban vitality and the ecological environment a case study from china,2026,Journal of Urban Planning and Development,NA,10.1061/jupddm.upeng-5881,NA,"During the later stages of urbanization, the cultivation and maintenance of urban vitality have become a pivotal concern in urban development. However, research on urban vitality in Chinese cities remains at a nascent stage, particularly regarding its interconnectedness with the ecological environment. This study systematically examines the spatiotemporal evolution and driving factors of the urban vitality–ecological environment coupling coordination degree (UECCD) across Chinese cities from 2010 to 2021. The findings demonstrate three principal patterns: First, Chinese cities achieved substantial progress in UECCD development, with a notable contraction in the number of low-coordination cities. Second, significant regional disparities in UECCD are observed, with eastern regions demonstrating higher performance, while northeastern areas exhibit a comparatively low attainment. Third, the spatial distribution is marked by statistically significant high–high and low–low clusters. Spatial regression analyses identify economic development, urbanization, environmental regulation, digitization, and industrial structure as key positive determinants of the UECCD, whereas government intervention exhibits inhibitory effects. All factors demonstrate measurable spatial spillover effects, suggesting the necessity for coordinated regional governance strategies.",NA,NA,NA,Snowballing,journalArticle,10.1061/jupddm.upeng-5881
"Melniichuk, Mykhailo; Horbach, Victoriia; Horbach, Liudmyla; Vovk, Oleksandr",air pollution of the largest cities in the volyn region preconditions consequences and ways of solution of this problem,2022,"Visnyk of V.N. Karazin Kharkiv National University, series Geology. Geography. Ecology",NA,10.26565/2410-7360-2022-56-16,NA,"<jats:p>Formulation of the problem. Air pollution is one of the biggest modern ecological problem, which aggravates with process of urbanization, industrial development, increasing number of vehicles, etc. So that, the article is devoted to the study the of air pollution in the largest cities of the Volyn region: Lutsk, Kowel, Novovolynsk and Volodymyr-Volynskyi. The purpose of the article is to estimate state and quality of the air in the largest cities of the Volyn region, discover the main sources of air pollution, characterize the effects of pollution on people health and environment, propose measures for solving this problem. Review of previous publications and studies. State of the air pollution in the urban areas of the Volyn region became the subject of scientific interest of many scientists. Hulai L. D., Karaim O. A. and Syniuk, A. Yu. researched ecological state of air basin and structure of sources of air pollution in the Novovolynsk City. Panasiuk M. V. and Hulai L. D. analyzed air quality in the Kovel district and Kovel City. Problems of air pollution were investigated in the studies of Kiptenko Ye. M., Kozlenko T. V. and Molchak Ya. O., Fesiuk V. O., Kartava O. F. Moreover, Poruchynska, I. V. in her publication explored ways of reducing air pollution by vehicle in the Volyn region. Methods. The most common methods in the research were analysis and synthesis, correlations and regressions, generalization and comparison. Moreover, to study the quality of air basin in the largest urban area – Lutsk City, the authors calculated index of air pollution. Results. The study defined that the main source of air pollution in the urban systems are automobiles, which produce into the atmosphere 85-95 % of all emissions. Furthermore, stationary sources such as industrial enterprises and utility companies also pollute air basin of cities with hazardous substances. However, the amount of pollutants from these sources in the Lutsk City and Volodymyr-Volynskyi City slowly decreases. The authors researched that the air basin in Lutsk City is exposed to the greatest anthropogenic loading. According to the calculation of the air pollution index, city’s air basin belongs to the quality class «polluted air». Consequences of air pollution are quite different and have impact on environment and economic complex. Besides, poor air quality can cause different diseases. To solve this problem the authors propose to reconstruct and modernize enterprises’ treatment systems, to increase the number of environmental friendly public transport, to increase the areas with greenery, to introduce green logistics in transportation. The authors concluded that air basin in the most urbanized areas of the Volyn region is quite polluted, which caused by using vehicles and functioning of manufacture. So that, it is suggested measures to reduce the amount of emission from different source of pollution. Scientific novelty and practical significance. The main preconditions and trends of modern changes in air quality of the largest cities in the Volyn region was researched for the first time. Furthermore, the authors identified the main sources of air pollution, which have affected the quality of urban air basins during recent years. In addition, index of air pollution in the Lutsk City was calculated for the period 2015-2020. The article proposes measures to improve air quality and reduce emissions from stationary and mobile sources of pollution.</jats:p>",NA,NA,NA,Snowballing,journalArticle,10.26565/2410-7360-2022-56-16
"Bi, Shenghao; Hu, Jin; Shao, Liangshan; Feng, Tianchu; Appolloni, Andrea",can public transportation development improve urban air quality evidence from china,2024,Urban Climate,NA,10.1016/j.uclim.2024.101825,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.uclim.2024.101825
"Goyal, Ankur; Agrawal, Rajat; Kumar Sharma, Anil",green quality circle achieving sustainable manufacturing with low investment,2022,"Resources, Conservation & Recycling Advances",NA,10.1016/j.rcradv.2022.200103,NA,"Manufacturing activities are increasing globally amidst various environmental challenges. Complying with new regulations and pressure from stakeholders are compelling industries to adopt new technologies, management system, and processes, which can minimise ecological footprints. In emerging economies, rapid growth of industries is posing high pressure on environment with the reality that large share comprises of small and medium size industries, which are deprived of required fund for investment. To address the problem in context of emerging economies, this paper is proposing a concept of ‘Green quality circle’ which empowers shop floor employees i.e. workmen who can improve manufacturing processes with environment point of view. In this regards, the purpose of this paper is to bring attention of academicians and practitioners for untapped potential of employees at grass root level. The findings of this paper are supported by case study. It is proposed that conventional quality circles have potential to improve existing process from environmental point of view, but it needs focused approach through management support and training.",NA,NA,NA,Snowballing,journalArticle,10.1016/j.rcradv.2022.200103
"Hou, Zaikun; Chen, Huan; Zhang, Ning",devil particles air pollution and safety liability accidents,2025,Energy Economics,NA,10.1016/j.eneco.2025.108894,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.eneco.2025.108894
"Zhou, Jian; Guo, Guanghui; Liu, Tao; Zhu, Zhenjun",the gender difference in the effects of air pollution on the risk of spinal osteoarthritis in chinese middle aged and older adults a prospective cohort study in china,2025,Frontiers in public health,NA,10.3389/fpubh.2025.1576204,NA,"<AbstractText Label=""Objective"" NlmCategory=""UNASSIGNED"">This study aimed to investigate whether exposure to multiple ambient air pollutants (PM<sub>1</sub>, PM<sub>2.5</sub>, PM<sub>10</sub>, O₃, and NO₂) elevates the risk of spinal osteoarthritis among middle-aged and older adults in China, and to further determine if there are gender-specific differences in vulnerability.</AbstractText> <AbstractText Label=""Methods"" NlmCategory=""UNASSIGNED"">A total of 7,663 participants aged 45 years and older, drawn from the China Health and Retirement Longitudinal Study (CHARLS), were followed from 2011 to 2020. Individuals free of spinal osteoarthritis at baseline were included. Annual mean concentrations of PM<sub>1</sub>, PM<sub>2.5</sub>, PM<sub>10</sub>, O₃, and NO₂ were extracted from the China High Air Pollutants (CHAP) dataset at a 1 km resolution (10 km for NO₂ in some years). Spinal osteoarthritis was identified via self-reported, physician-diagnosed cases involving the spine. Time-varying Cox proportional hazards regression models were used to evaluate hazard ratios (HR) and 95% confidence intervals (CI) per 10 μg/m<sup>3</sup> increase in pollutant concentrations. All analyses accounted for demographic, socioeconomic, lifestyle, and spatial/seasonal factors, and explored potential effect modification by gender.</AbstractText> <AbstractText Label=""Results"" NlmCategory=""UNASSIGNED"">During the median 7-year (IQR: 4-9 years) follow-up, 1,556 participants newly reported spinal osteoarthritis. After adjusting for confounders, each 10 μg/m<sup>3</sup> increment of PM<sub>1</sub>, PM<sub>2.5</sub>, PM<sub>10</sub>, and NO₂ was associated with a significant rise in the incidence of spinal osteoarthritis (13.8, 6.8, 5.1, and 17.4%, respectively), while O₃ showed a weaker and non-significant effect (1.1%). Notably, stratified analyses revealed that female participants exhibited pronounced vulnerability to PM<sub>1</sub>, PM<sub>2.5</sub>, PM<sub>10</sub>, and NO₂ exposures, whereas the associations in males were not statistically significant.</AbstractText> <AbstractText Label=""Conclusion"" NlmCategory=""UNASSIGNED"">This prospective study indicates that higher concentrations of particulate matter and traffic-related pollutants may contribute to an elevated risk of spinal osteoarthritis, particularly among women. These findings underscore the importance of incorporating musculoskeletal health into air quality management and highlight the value of targeted interventions-such as reducing ambient pollution and monitoring high-risk groups-to mitigate the burden of spinal osteoarthritis in rapidly urbanizing areas.</AbstractText> <CopyrightInformation>Copyright © 2025 Zhou, Guo, Liu and Zhu.</CopyrightInformation>",NA,NA,NA,Snowballing,journalArticle,10.3389/fpubh.2025.1576204
"Li, Zihanxin; Li, Nuoyan; Wen, Huwei",digital economy and environmental quality evidence from 217 cities in china,2021,Sustainability,NA,10.3390/su13148058,NA,"With the rapid development of the digital economy, understanding the relationship between the digital economy and the environment is increasingly important for sustainable development. This study mainly studies the nexus of digital economy development and environmental quality for 217 cities in China from 2003 to 2018. Specifically, this study first evaluates the degree of coupling coordination between the digital economy system and the environmental system. Results show that the coupling coordination degree between the digital economy system and the environmental system shows a fluctuating rise from 2003 to 2018. Furthermore, this study empirically investigates the impact of digital economy development on PM2.5, which represents environmental quality, and results show that digital economy development significantly reduces PM2.5. The above finding is still valid by using the quasi-natural experiment of broadband China for the robustness test. Urbanization, population density, and economic development have caused threshold effects. When the urbanization rate and population density exceed a certain threshold, the digital economy significantly inhibits PM2.5. In contrast, when the per capita GDP exceeds a certain threshold, the digital economy significantly promotes PM2.5. The digital economy mainly affects pollutant emissions through direct and technological effects.",NA,NA,NA,Snowballing,journalArticle,10.3390/su13148058
"Liu, Junfeng; Wang, Shaobo; Ji, Jianwen",will economic development come at the cost of environmental pollution under fiscal pressure evidence from resource based cities in china,2023,Environmental science and pollution research international,NA,10.1007/s11356-023-31443-2,NA,"The traditional view is that local governments are inclined to ease environmental regulations in response to fiscal pressure (FP) and alleviate FP by sacrificing the environment for economic development (ED). This paper takes Chinese Mainland resource-based cities (RBC) as the research sample but draws different conclusions. The research results are as follows: firstly, for RBC, although FP reduces environmental pollution (EP), it is not conducive to ED. Compared with non-resource-based cities (NRBC), the economic negative effect of FP in RBC is more obvious. Secondly, FP is detrimental to ED by reducing EP, and RBC have not sacrificed the environment to promote ED in the context of FP. This paper summarizes that the development path of RBC should be ""optimizing government behavior → increasing FP → improving environmental quality → reducing ED level."" Thirdly, the impact of FP on cities with slower economic growth and smaller economic gap is greater, and the impact of FP on cities with better environment is more obvious. This paper argues that facing FP, RBC in China will not trade EP for ED; at the same time, we suggest RBC in other countries in the face of the FP, not only thinking of promoting ED at the expense of the EP and ease the FP, but also the development of green ecological requirement, overall consideration of the relationship between EP and ED, and then achieve green and sustainable ED without degrading the environment as far as possible.",NA,NA,NA,Snowballing,journalArticle,10.1007/s11356-023-31443-2
"Xie, Jie; Zhu, Mingying",what are the economic concerns on environment mapping the research trends and frontiers on air pollution and health,2022,Economic Research-Ekonomska Istraživanja,NA,10.1080/1331677x.2021.2021434,NA,"There is a growing body of economic literature focusing on the negative health effect of air pollution. This paper performs a data-driven analysis of 844 economic publications on air pollution and health in the last three decades. We provide a novel way to visualize the research patterns and features, including the numerical analysis, collaboration network analysis at macro-meso-micro levels, keyword co-occurrence network analysis, and co-citation connection analysis. Additionally, the comparison with the topic dendrogram in environmental science is supplemented to seek the potential research direction. The results reveal that the entire field is now experiencing the rapid development. United States has not only published the largest number of articles, but has also established the most extensive collaborations with other countries. Besides, there have developed a couple of stable cooperative teams consisting of the leading authors. Research topics are gradually leaning toward the developing countries, and research contents are turning to psychological health. More types of air pollutants are worthy of analysis in the future.",NA,NA,NA,Snowballing,journalArticle,10.1080/1331677x.2021.2021434
"Bassi, Vittorio; Kahn, Matthew E.; Gracia, Nancy Lozano; Porzio, Tommaso; Sorin, Jeanne",pollution in ugandan cities,2021,NA,NA,10.1596/1813-9450-9743,NA,NA,NA,NA,NA,Snowballing,book,10.1596/1813-9450-9743
"Yuan, Xiaoling; Li, Hao; Zhao, Jinkai",impact of environmental pollution on health evidence from cities in china,2020,Social work in public health,NA,10.1080/19371918.2020.1805084,NA,"Doubtless, China's long-term extensive development model has exacerbated environmental pollution, thus posing a great threat to the health of its residents. Against this background, the present paper constructs a comprehensive system for evaluating environmental pollution from the perspective of environmental pollution and natural purification, and then empirically analyzes the impact of environmental pollution on the ""near-term health,"" ""self-rated health"", and ""mental health"" of Chinese residents via the Hierarchical Linear Model based on the data from China Family Panel Studies in 2016. This paper focuses on the impact of environmental pollution on physical health as well as on mental health. The results are as follows: (1) although environmental pollution in China has no significant negative impact on the ""near-term health"" of residents, it can reduce the levels of ""self-rated health"" and ""mental health"" of residents; (2) environmental pollution causes more health losses to the low-income group and residents in underdeveloped cities in central and western China. It is argued that perfecting public services is an important way to improve residents' physical and mental health in the process of urbanization in China.",NA,NA,NA,Snowballing,journalArticle,10.1080/19371918.2020.1805084
"Luo, Jiawen; Zhang, Qun",air pollution weather factors and realized volatility forecasts of agricultural commodity futures,2023,Journal of Futures Markets,NA,10.1002/fut.22467,NA,"<jats:title>Abstract</jats:title><jats:p>This study investigates the potential effects of environmental factors on fluctuations in agricultural commodity futures markets, by constructing a new category of daily exogenous predictors related to air pollution, weather, climate change, and investor attention. The empirical results from out‐of‐sample analyses suggest that the heterogeneous autoregressive (HAR) model incorporating all these exogenous predictors is more likely to outperform other HAR‐type models. Additionally, economic evaluations demonstrate the superior performance of models incorporating investors' attention to climate change or extreme weather as predictors. While not all exogenous predictors are equally important for volatility forecasts, adopting appropriate variable selection methods to handle different sets of exogenous predictors can lead to better performance than the HAR benchmark. With the inclusion of air pollution or weather factors in the HAR model, a portfolio with an annualized average excess return of 16.2068% or a Sharpe ratio of 10.0431 can be achieved for the wheat futures, respectively.</jats:p>",NA,NA,NA,Snowballing,journalArticle,10.1002/fut.22467
"Han, Ahram; Kim, Taejong; Ten, Gi Khan; Wang, Shun",air pollution and gender imbalance in labor supply responses evidence from south korea,2023,Economic Modelling,NA,10.1016/j.econmod.2023.106290,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.econmod.2023.106290
"Li, Xiao; Wang, Yutao; Zhou, Hongchun; Shi, Lei",has china s war on pollution reduced employment quasi experimental evidence from the clean air action,2020,Journal of environmental management,NA,10.1016/j.jenvman.2019.109851,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.jenvman.2019.109851
"Hou, Yue; Wang, Peichun",unpolluted decisions air quality and judicial outcomes in china,2020,Economics Letters,NA,10.1016/j.econlet.2020.109369,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.econlet.2020.109369
"He, Pan; Liang, Jing; Qiu, Yueming Lucy; Li, Qingran; Xing, Bo",increase in domestic electricity consumption from particulate air pollution,2020,Nature Energy,NA,10.1038/s41560-020-00699-0,NA,"Accurate assessment of environmental externalities of particulate air pollution is crucial to the design and evaluation of environmental policies. Current evaluations mainly focus on direct damages resulting from exposure, missing indirect co-damages that occur through interactions among the externalities, human behaviours and technologies. Our study provides an empirical assessment of such co-damages using customer-level daily and hourly electricity data of a large sample of residential and commercial consumers in Arizona, United States. We use an instrumental variable panel regression approach and find that particulate matter air pollution increases electricity consumption in residential buildings as well as in retail and recreation service industries. Air pollution also reduces the actual electricity generated by distributed-solar panels. Lower-income and minority ethnic groups are disproportionally impacted by air pollution and pay higher electricity bills associated with pollution avoidance, stressing the importance of incorporating the consideration of environmental justice in energy policy-making. While electricity production has a significant impact on air quality, the opposite effect has been suspected but not empirically demonstrated. Now, using pollution and electricity consumption data, He et al. show the impact of air pollution on domestic electricity consumption.",NA,NA,NA,Snowballing,journalArticle,10.1038/s41560-020-00699-0
"Lai, Wangyang; Song, Hong; Wang, Chang; Wang, Huanhuan",air pollution and brain drain evidence from college graduates in china,2021,China Economic Review,NA,10.1016/j.chieco.2021.101624,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.chieco.2021.101624
"Ulniković, Vladanka Presburger; Kurilić, Sanja Mrazovac; Staletovic, Novica",air quality benefits from implementing best available techniques in copper mining and smelting complex bor serbia,2020,"Water, Air, & Soil Pollution",NA,10.1007/s11270-020-04520-2,NA,"Since 2016, the impact of the best available techniques (BAT) on air quality in Bor is significant. Its performance is presented by the air quality assessment with respect to the average annual sulfur dioxide (SO2) emitted concentrations and the total SO2 volume emitted per year from the smelter and sulfuric acid plant, relative to the quantity of processed concentrate in the period when production was conducted with the old technology, in 2013. Air quality in Bor was categorized as category III, i.e., the air was heavily polluted due to the exceeded tolerance of SO2 values. In the agglomeration Bor, during 2016/2017, air was of the category I, i.e., clean or slightly polluted air. The data illustrated that the temporal (yearly) variation of SO2 concentration was more influenced by human-related factors, especially by secondary industry share, as SO2 is mainly produced and discharged in the process of industrial production. The spatial variation of such concentration was more affected by meteorological indicators, especially by wind direction. In the period of the new technology, a significantly greater volume of concentrate was processed and a considerably larger quantity of cathode copper produced, and at the same time, total volume of emitted SO2 and measured heavy metals (lead-Pb, arsenic-As, cadmium-Cd, and nickel-Ni) was substantially reduced.",NA,NA,NA,Snowballing,journalArticle,10.1007/s11270-020-04520-2
"Bensnes, Simon Søbstad",you sneeze you lose the impact of pollen exposure on cognitive performance during high stakes high school exams,2016,Journal of health economics,NA,10.1016/j.jhealeco.2016.05.005,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.jhealeco.2016.05.005
"Lee, Goeun; Beatty, Timothy K. M.",wildfires and agricultural worker movement,2025,Journal of the Association of Environmental and Resource Economists,NA,10.1086/733350,NA,"We study the effect of wildfire smoke on farmworker labor outcomes in California. Using high-frequency individual-location data, we find that labor declines at both the extensive and intensive margins on days when fields are affected by wildfire smoke. On smoky days, the number of workers in a field is reduced by 17.51% and working hours are reduced by 23.12%, relative to days without smoke. Estimated effects are largest for labor-intensive crops. Farmworkers are more likely to be observed in a field immediately before smoke events and less likely to be observed after. They are also more likely to work in other fields when their primary worksite is treated. Results highlight the significant effects of wildfire smoke on farmworker labor outcomes, showing reductions in work activities and the adoption of substitution behaviors among a marginalized and hard-to-survey group.",NA,NA,NA,Snowballing,journalArticle,10.1086/733350
"Lai, Wangyang; Li, Yanan; Tian, Xiaohui; Li, Shanjun",air pollution and cognitive function evidence from crop production cycles,2017,SSRN Electronic Journal,NA,10.2139/ssrn.3039935,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.2139/ssrn.3039935
"Wang, Lizheng; Zheng, Jinyang; Li, Yongjun; Tan, Yong",is digital goods consumption resilient to air pollution,2022,SSRN Electronic Journal,NA,10.2139/ssrn.4182042,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.2139/ssrn.4182042
"Sun, Yongping; Li, Yingyi; Yu, Tiantian; Zhang, Xinyu; Liu, Lingna; Zhang, Ping",resource extraction environmental pollution and economic development evidence from prefecture level cities in china,2021,Resources Policy,NA,10.1016/j.resourpol.2021.102330,NA,NA,NA,NA,NA,Snowballing,journalArticle,10.1016/j.resourpol.2021.102330
